7	-4	C
19	23	C
10	2	C
13	-8	C
2	9	C
22	50	F
4	6	C
8	-3	C
14	32	F
19	17	C
17	17.6	F
18	19	C
1	6	C
10	19	C
21	84.2	F
1	82.4	F
11	0	C
22	33.8	F
20	73.4	F
2	26	C
9	23	F
15	6	C
22	-1	C
17	-6	C
6	59	F
15	75.2	F
3	20	C
0	78.8	F
20	14	C
11	24	C
12	50	F
0	48.2	F
10	60.8	F
11	77	F
2	8	C
9	44.6	F
21	35.6	F
20	51.8	F
14	-9	C
17	-6	C
16	-1	C
13	7	C
9	25	C
7	26.6	F
17	73.4	F
5	16	C
11	57.2	F
15	2	C
15	48.2	F
0	18	C
4	66.2	F
11	8	C
14	1	C
11	48.2	F
20	18	C
14	73.4	F
2	21.2	F
10	62.6	F
15	1	C
13	48.2	F
16	21	C
4	25	C
18	15.8	F
19	19	C
3	73.4	F
20	13	C
0	30.2	F
4	-7	C
5	46.4	F
16	57.2	F
0	-2	C
21	80.6	F
20	55.4	F
23	0	C
4	23	F
6	15	C
2	16	C
2	53.6	F
13	17	C
4	18	C
14	18	C
15	60.8	F
4	12	C
10	-5	C
13	32	F
17	14	F
4	60.8	F
17	64.4	F
18	46.4	F
21	53.6	F
0	78.8	F
11	48.2	F
20	21	C
11	15.8	F
13	39.2	F
3	29	C
11	26	C
21	37.4	F
14	41	F
2	21.2	F
